price,street,area,bedrooms,bathrooms,halfbathrooms,unit,status,buildingType,latitude,longitude
2284,3480 Seymour Avenue,Williamsbridge,2,1,0,3C,ACTIVE,RENTAL,40.8775,-73.8493
2031,3480 Seymour Avenue,Williamsbridge,0,1,0,1A,ACTIVE,RENTAL,40.8775,-73.8493
2284,3480 Seymour Avenue,Williamsbridge,2,1,0,2B,ACTIVE,RENTAL,40.8775,-73.8493
2169,3480 Seymour Avenue,Williamsbridge,1,1,0,3A,ACTIVE,RENTAL,40.8775,-73.8493
3250,3880 9th Avenue,Inwood,1,1,0,13S,ACTIVE,RENTAL,40.864166,-73.91741
3250,3880 9th Avenue,Inwood,1,1,0,6V,ACTIVE,RENTAL,40.864166,-73.91741
3425,3880 9th Avenue,Inwood,1,1,0,4N,ACTIVE,RENTAL,40.864166,-73.91741
3650,27-03 42nd Road,Hunters Point,1,1,0,14C,ACTIVE,RENTAL,40.7497,-73.9401
4647,21 West Street,Financial District,1,1,0,18B,ACTIVE,RENTAL,40.7064,-74.0155
6859,19 Dutch Street,Fulton/Seaport,1,1,0,50H,ACTIVE,RENTAL,40.709816,-74.00738
5200,433 West 53rd Street,Hell's Kitchen,2,1,0,21,ACTIVE,RENTAL,40.766376,-73.989006
6995,50 West 97th Street,Upper West Side,3,2,0,05H,ACTIVE,RENTAL,40.7928,-73.9659
3600,10 Halletts Point,Astoria,1,1,0,PH9,ACTIVE,RENTAL,40.7765,-73.9352
7496,20 Halletts Point,Astoria,2,2,0,2-2211,ACTIVE,RENTAL,40.776154,-73.93589
3595,210 West 70th Street,Lincoln Square,0,1,0,0214,ACTIVE,RENTAL,40.7774,-73.9835
2169,3480 Seymour Avenue,Williamsbridge,1,1,0,6A,ACTIVE,RENTAL,40.8775,-73.8493
3180,12 West 44th Street,Midtown,0,1,0,612,ACTIVE,RENTAL,40.75502,-73.98111
4900,415 West 120th Street,Morningside Heights,0,1,0,04D,ACTIVE,RENTAL,40.80918,-73.95813
4487,45 Hoyt Street,Downtown Brooklyn,1,1,0,10C,ACTIVE,RENTAL,40.6892,-73.9856
5786,400 West 113th Street,Morningside Heights,1,1,0,106,ACTIVE,RENTAL,40.804,-73.9604
16200,675 West 59th Street,Lincoln Square,2,2,0,2108,ACTIVE,RENTAL,40.77295,-73.99269
4650,150 East 39th Street,Murray Hill,2,1,0,1401,ACTIVE,RENTAL,40.7489,-73.9766
3125,3880 9th Avenue,Inwood,0,1,0,3I,ACTIVE,RENTAL,40.864166,-73.91741
3250,3880 9th Avenue,Inwood,1,1,0,12U,ACTIVE,RENTAL,40.864166,-73.91741
5070,180 Riverside Boulevard,Lincoln Square,1,1,0,32C,ACTIVE,RENTAL,40.7784,-73.9879
6761,600 West 58th Street,Hell's Kitchen,2,2,0,8B,ACTIVE,RENTAL,40.771,-73.9916
7500,45 West 81st Street,Upper West Side,2,2,0,2,ACTIVE,RENTAL,40.783146,-73.973694
5250,445 Gerard Avenue,Mott Haven,2,2,0,1105,ACTIVE,RENTAL,40.817543,-73.93009
3950,27-03 42nd Road,Hunters Point,1,1,0,20D,ACTIVE,RENTAL,40.7497,-73.9401
9995,650 1st Avenue,Murray Hill,2,2,0,PHF,ACTIVE,RENTAL,40.74572,-73.971634
9995,650 1st Avenue,Murray Hill,2,2,0,PHG,ACTIVE,RENTAL,40.74572,-73.971634
3600,3103 Sedgwick Avenue,Kingsbridge Heights,2,1,0,3A,ACTIVE,RENTAL,40.876907,-73.89966
4002,42-20 24th Street,Hunters Point,0,1,0,004G,ACTIVE,RENTAL,40.7507,-73.9421
5445,26-38 Jackson Avenue,Hunters Point,1,1,0,26B,ACTIVE,RENTAL,40.747368,-73.940895
3999,2067 Adam Clayton Powell Boulevard,South Harlem,3,1,0,5B,ACTIVE,RENTAL,40.807762,-73.94869
5500,45 West 81st Street,Upper West Side,1,1,0,2K,ACTIVE,RENTAL,40.783146,-73.973694
2600,533 West 144th Street,Hamilton Heights,1,1,0,5,ACTIVE,RENTAL,40.82527,-73.949196
6950,560 2nd Street,Park Slope,2,2,0,1,ACTIVE,RENTAL,40.670086,-73.97643
4627,21 West Street,Financial District,1,1,0,16B,ACTIVE,RENTAL,40.7064,-74.0155
4160,1975 Madison Avenue,Central Harlem,1,1,0,603,ACTIVE,RENTAL,40.80643,-73.93965
6870,8 Court Square,Hunters Point,2,2,0,20B,ACTIVE,RENTAL,40.746864,-73.942474
4284,888 Main Street,Roosevelt Island,1,1,0,612,ACTIVE,RENTAL,40.768707,-73.94458
4694,888 Main Street,Roosevelt Island,1,1,0,123,ACTIVE,RENTAL,40.768707,-73.94458
3507,166-20 90th Avenue,Jamaica,1,1,0,1011,ACTIVE,RENTAL,40.707336,-73.794174
6952,795 Columbus Avenue,Upper West Side,1,1,0,PHD,ACTIVE,RENTAL,40.7943,-73.966
5600,325 Lafayette Avenue,Clinton Hill,2,2,0,8E,ACTIVE,RENTAL,40.6888,-73.9627
5967,281 Avenue C,Stuyvesant Town/PCV,2,1,0,11-D,ACTIVE,RENTAL,40.7317,-73.9779
3425,620 West 153rd Street,Hamilton Heights,1,1,0,4D,ACTIVE,RENTAL,40.831673,-73.94822
3494,60-14 Beach Channel Drive,Arverne,3,2,0,325,ACTIVE,RENTAL,40.59386,-73.790375
2481,60-14 Beach Channel Drive,Arverne,0,1,0,404,ACTIVE,RENTAL,40.59386,-73.790375
7725,235 West 48th Street,Midtown,2,2,0,039F,ACTIVE,RENTAL,40.7609,-73.9861
5695,111 Worth Street,Tribeca,1,1,0,17D,ACTIVE,RENTAL,40.716057,-74.003494
3509,56 West 127th Street,Central Harlem,2,1,0,5B,ACTIVE,RENTAL,40.808384,-73.9435
2500,4568 Man Colleg Parkway,Kingsbridge,2,1,0,5A,ACTIVE,RENTAL,40.88906,-73.90014
18000,237 Madison Avenue,Murray Hill,2,3,0,PH,ACTIVE,RENTAL,40.7498,-73.981125
3150,445 Gerard Avenue,Mott Haven,1,1,0,W1014,ACTIVE,RENTAL,40.817543,-73.93009
6000,10 Halletts Point,Astoria,2,2,0,PH1,ACTIVE,RENTAL,40.7765,-73.9352
3850,1134 Fulton Street,Bedford-Stuyvesant,2,1,0,6O,ACTIVE,RENTAL,40.68071,-73.95519
7300,150 Lawrence Street,Downtown Brooklyn,2,2,0,514,ACTIVE,RENTAL,40.691624,-73.98658
5421,189 West 89th Street,Upper West Side,1,1,0,12K,ACTIVE,RENTAL,40.7896,-73.9732
8995,567 Fulton Street,Downtown Brooklyn,2,1,0,3P,ACTIVE,RENTAL,40.689545,-73.98176
6056,100 West 31st Street,Midtown South,1,1,0,14I,ACTIVE,RENTAL,40.7479,-73.9896
7500,150 Lawrence Street,Downtown Brooklyn,2,2,0,203,ACTIVE,RENTAL,40.691624,-73.98658
4495,181 East 119th Street,East Harlem,2,2,0,8D,ACTIVE,RENTAL,40.8001,-73.9388
3436,27-03 42nd Road,Hunters Point,0,1,0,18F,ACTIVE,RENTAL,40.7497,-73.9401
3555,27-03 42nd Road,Hunters Point,0,1,0,23F,ACTIVE,RENTAL,40.7497,-73.9401
3995,414 Gerard Avenue,Mott Haven,2,2,0,E505,ACTIVE,RENTAL,40.817127,-73.9296
8150,240 Third Avenue,Gowanus,2,2,0,9AS,ACTIVE,RENTAL,40.678787,-73.985596
7000,240 Third Avenue,Gowanus,2,2,0,8AX,ACTIVE,RENTAL,40.678787,-73.985596
4826,303 East 83rd Street,Yorkville,1,1,0,04C,ACTIVE,RENTAL,40.776,-73.9527
2950,417 West 120th Street,Morningside Heights,0,1,0,3W,ACTIVE,RENTAL,40.809288,-73.95838
9099,343 Gold Street,Downtown Brooklyn,3,2,0,4114,ACTIVE,RENTAL,40.6941,-73.9829
4225,37 Wall Street,Financial District,0,1,0,3T,ACTIVE,RENTAL,40.7063,-74.0102
10674,675 West 59th Street,Lincoln Square,2,2,1,304,ACTIVE,RENTAL,40.77295,-73.99269
15900,675 West 59th Street,Lincoln Square,3,2,0,810,ACTIVE,RENTAL,40.77295,-73.99269
3690,4650 Broadway,Fort George,1,1,0,1906,ACTIVE,RENTAL,40.862766,-73.92939
11650,626 1st Avenue,Murray Hill,3,2,0,E31G,ACTIVE,RENTAL,40.7444,-73.972
3270,401 East 58th Street,Sutton Place,0,1,0,A12,ACTIVE,RENTAL,40.759064,-73.96203
2402,501 West 184th Street,Fort George,1,1,0,5A,ACTIVE,RENTAL,40.850185,-73.92979
